Location,Date,Temperature,Humidity
Mumbai,2021-05-02 09:56:43.170072,30.9,93.8
Mumbai,2021-05-02 09:56:45.429358,30.9,93.7
Mumbai,2021-05-02 09:56:47.688648,30.9,93.7
Mumbai,2021-05-02 09:56:49.947973,30.9,93.7
Mumbai,2021-05-02 09:56:52.207278,30.9,93.7
Mumbai,2021-05-02 09:56:54.466592,30.9,93.7
Mumbai,2021-05-02 09:56:56.725613,30.9,93.7
Mumbai,2021-05-02 09:56:58.984633,30.9,93.7
Mumbai,2021-05-02 09:57:01.243966,30.9,93.7
Mumbai,2021-05-02 09:57:03.503246,30.9,93.7
Mumbai,2021-05-02 09:57:05.762587,30.9,93.7
Mumbai,2021-05-02 09:57:08.021886,30.9,93.7
Mumbai,2021-05-02 09:57:10.281103,30.9,93.6
Mumbai,2021-05-02 09:57:12.540405,30.9,93.6
Mumbai,2021-05-02 09:57:14.799758,30.9,93.6
Mumbai,2021-05-02 09:57:17.059050,30.9,93.6
Mumbai,2021-05-02 09:57:19.318318,30.9,93.6
Mumbai,2021-05-02 09:57:21.577586,30.8,93.6
Mumbai,2021-05-02 09:57:23.836816,30.9,93.6
Mumbai,2021-05-02 09:57:26.095832,30.8,93.6
Mumbai,2021-05-02 09:57:28.354825,30.9,93.6
Mumbai,2021-05-02 09:57:30.614126,30.9,93.6
Mumbai,2021-05-02 09:57:32.873397,30.9,93.6
Mumbai,2021-05-02 09:57:35.132665,30.8,93.6
Mumbai,2021-05-02 09:57:37.392005,30.9,93.6
Mumbai,2021-05-02 09:57:39.651291,30.9,93.6
Mumbai,2021-05-02 09:57:41.910589,30.9,93.6
Mumbai,2021-05-02 09:57:44.169897,30.9,93.6
Mumbai,2021-05-02 09:57:46.429176,30.9,93.6
Mumbai,2021-05-02 09:57:48.688480,30.9,93.6
Mumbai,2021-05-02 09:57:50.947783,30.9,93.6
Mumbai,2021-05-02 09:57:53.207075,30.9,93.6
Mumbai,2021-05-02 09:57:55.466437,30.9,93.6
Mumbai,2021-05-02 09:57:57.725702,30.9,93.6
Mumbai,2021-05-02 09:57:59.985029,30.9,93.6
Mumbai,2021-05-02 09:58:02.244324,30.9,93.6
Mumbai,2021-05-02 09:58:04.503647,30.9,93.5
Mumbai,2021-05-02 09:58:06.762913,30.9,93.5
Mumbai,2021-05-02 09:58:09.022138,30.9,93.5
Mumbai,2021-05-02 09:58:11.281431,30.9,93.5
Mumbai,2021-05-02 09:58:13.540738,30.9,93.5
Mumbai,2021-05-02 09:58:15.799881,30.9,93.5
Mumbai,2021-05-02 09:58:18.059155,30.9,93.5
Mumbai,2021-05-02 09:58:20.318498,30.9,93.5
Mumbai,2021-05-02 09:58:22.577782,30.9,93.5
Mumbai,2021-05-02 09:58:24.837068,30.9,93.5
Mumbai,2021-05-02 09:58:27.096390,30.9,93.5
Mumbai,2021-05-02 09:58:29.355697,30.9,93.5
Mumbai,2021-05-02 09:58:31.615021,30.9,93.5
Mumbai,2021-05-02 09:58:33.874246,30.9,93.4
Mumbai,2021-05-02 09:58:36.133558,30.9,93.4
Mumbai,2021-05-02 09:58:38.392836,30.9,93.4
Mumbai,2021-05-02 09:58:40.652112,30.9,93.4
Mumbai,2021-05-02 09:58:42.911436,30.9,93.4
Mumbai,2021-05-02 09:58:45.170770,30.9,93.4
Mumbai,2021-05-02 09:58:47.430061,30.9,93.4
Mumbai,2021-05-02 09:58:49.689365,30.9,93.4
Mumbai,2021-05-02 09:58:51.948389,30.9,93.4
Mumbai,2021-05-02 09:58:54.207658,30.9,93.4
Mumbai,2021-05-02 09:58:56.466976,30.9,93.4
Mumbai,2021-05-02 09:58:58.726274,30.9,93.4
Mumbai,2021-05-02 09:59:00.985583,31.0,93.4
Mumbai,2021-05-02 09:59:03.244860,30.9,93.4
Mumbai,2021-05-02 09:59:05.504190,30.9,93.3
Mumbai,2021-05-02 09:59:07.763492,30.9,93.3
Mumbai,2021-05-02 09:59:10.022798,30.9,93.3
Mumbai,2021-05-02 09:59:12.282120,30.9,93.3
Mumbai,2021-05-02 09:59:14.541422,30.9,93.3
Mumbai,2021-05-02 09:59:16.800748,30.9,93.3
Mumbai,2021-05-02 09:59:19.060087,30.9,93.4
Mumbai,2021-05-02 09:59:21.319088,30.9,93.4
Mumbai,2021-05-02 09:59:23.578258,30.9,93.4
Mumbai,2021-05-02 09:59:25.837405,30.9,93.4
Mumbai,2021-05-02 09:59:28.096657,30.9,93.4
Mumbai,2021-05-02 09:59:30.355985,30.9,93.4
Mumbai,2021-05-02 09:59:32.614970,30.9,93.4
Mumbai,2021-05-02 09:59:34.874286,30.9,93.4
Mumbai,2021-05-02 09:59:37.133615,30.9,93.3
Mumbai,2021-05-02 09:59:39.392863,30.9,93.3
Mumbai,2021-05-02 09:59:41.652150,30.9,93.3
Mumbai,2021-05-02 09:59:43.911396,30.9,93.3
Mumbai,2021-05-02 09:59:46.170727,30.9,93.3
Mumbai,2021-05-02 09:59:48.429976,30.9,93.3
Mumbai,2021-05-02 09:59:50.689293,30.8,93.3
Mumbai,2021-05-02 09:59:52.948580,30.8,93.3
Mumbai,2021-05-02 09:59:55.207577,30.9,93.3
Mumbai,2021-05-02 09:59:57.466928,30.9,93.3
Mumbai,2021-05-02 09:59:59.726273,30.9,93.3
Mumbai,2021-05-02 10:00:01.985603,30.8,93.3
